STUDENT_ID,LOCATION,ZIP_CODE,ETHNICITY,SCIENCE_POINTS,TECHNOLOGY_POINTS,ENGINEERING_POINTS,ART_POINTS,MATH_POINTS,AVERAGE_STEAM_POINTS,PROFILE
4038,HOUSTON,77001,African American,8,96,93,66,92,71,"What's up! I'm a third-grader who loves tinkering. Whether it's building a cardboard spaceship or creating unique shapes with clay, I'm always exploring my artistic side."
4039,ANTHONY,79821,African American,11,96,58,26,68,51.8,"Hi there! I'm a high school junior with a passion for marine biology. Studying underwater ecosystems and marine life is my scientific voyage. In my artistic pursuits, I express my creativity through creating vibrant marine-themed digital illustrations that blend science and art."
4040,ARVADA,80001,African American,7,20,58,60,31,35.2,"Hi, I'm a first-grader who finds joy in patterns. Whether it's arranging blocks or creating sequences, I love expressing my creativity through simple math play."
4041,DESMET,83824,Asian,14,87,83,84,30,59.6,"What's up! I'm a senior deeply immersed in the world of theoretical physics. Delving into the abstract realms of the universe and exploring complex theories are my scientific passions. In my creative endeavors, I visualize intricate physics concepts through digital paintings, blending science with artistic interpretation."
4042,ALTAMONT,84001,Asian,11,26,29,93,52,42.2,Hey there! I'm a second-grader with a passion for dinosaurs. I love learning about different species and draw pictures of my favorite prehistoric creatures.
4043,LOS ANGELES,90001,African American,7,20,72,87,56,48.4,"Hello! I'm a high school junior with a love for computer programming. Coding algorithms, developing software, and exploring the vast world of technology are my daily pursuits. In my artistic moments, I create digital graphics that bridge the gap between technology and visual aesthetics."
4044,ALTADENA,91001,Hispanic,9,22,53,96,76,51.2,"Greetings! I'm a third-grader who enjoys solving puzzles. From jigsaw puzzles to math challenges, I express my creativity by figuring out solutions."
4045,AGOURA HILLS,91301,African American,15,43,65,72,40,47,"Greetings! I'm a senior delving into the world of environmental engineering. Designing sustainable solutions and exploring eco-friendly practices fuel my interest in both engineering and science. In my creative pursuits, I sketch concepts for green urban spaces that blend precision with an artistic vision."
4046,ALPINE,91901,Hispanic,6,22,50,29,29,27.2,"Hello! I'm a first-grader who loves to observe plants. I enjoy drawing flowers and trees, imagining how they grow and change with the seasons."
4047,BELMONT,94002,African American,7,92,37,26,20,36.4,"Hey! I'm a high school junior passionate about astronomy. Studying the cosmos and exploring celestial phenomena are my scientific endeavors. In my artistic moments, I create digital space-themed artwork that merges science and visual storytelling."
4048,ALAMEDA,94501,Hispanic,8,25,90,82,23,45.6,"Hi, I'm a second-grader with a fascination for sea life. Drawing colorful underwater scenes with fish and corals is my way of exploring the ocean."
4049,AIEA,96701,African American,13,58,41,68,61,48.2,"Hey! I'm a high school junior fascinated by bioinformatics. Analyzing biological data and exploring the intersection of biology and computer science are my scientific pursuits. In my artistic moments, I create digital visualizations that bridge the gap between genomics and art."
4050,ANCHORAGE,99501,Caucasian,19,29,42,92,86,53.6,What's up! I'm a third-grader with a passion for building bridges. I enjoy creating structures with my building blocks and draw pictures of fantastic bridges.
4051,ADJUNTAS,601,Asian,10,81,30,62,27,42,"Greetings! I'm a senior with a love for sustainable architecture. Designing eco-friendly structures and exploring innovative building materials fuel my interest in both engineering and art. In my creative pursuits, I sketch architectural wonders that merge precision with an artistic vision for a greener future."
4052,AGAWAM,1001,Caucasian,15,43,83,56,51,49.6,Hey there! I'm a first-grader who loves storytelling. I enjoy creating tales about friendly monsters and illustrate them with my crayons.
4053,AMHERST,3031,African American,17,81,54,55,95,60.4,"Hello! I'm a high school junior with a passion for chemical engineering. Mixing substances and exploring reactions are my daily adventures in the world of science. In my artistic endeavors, I create digital illustrations that visualize chemical processes in a vibrant and creative way."
4054,AVON,6001,African American,7,43,100,20,100,54,Greetings! I'm a second-grader who enjoys simple experiments. Mixing colors and watching them change is my way of having fun with science.
4055,AVENEL,7001,African American,14,81,50,39,22,41.2,"What's up! I'm a senior navigating the world of app development. Coding mobile applications, exploring user interfaces, and pushing the boundaries of technology are my technological pursuits. In my artistic moments, I design digital interfaces that seamlessly blend functionality with visual appeal."
4056,NEW YORK,10001,African American,7,50,84,93,72,61.2,Hello! I'm a third-grader who loves all things space. Drawing planets and imagining alien friends are my favorite creative pastimes.
4057,AMAWALK,10501,Caucasian,20,97,88,89,97,78.2,"Hi there! I'm a high school junior with a love for ornithology. Studying birds and understanding their behavior is my scientific journey. In my artistic pursuits, I express my creativity through intricate bird-themed digital illustrations that blend science and art."
4058,FLORAL PARK,11001,African American,7,61,36,28,96,45.6,"What's up! I'm a first-grader who enjoys counting shapes. Whether it's triangles or circles, I express my creativity through simple math drawings."
4059,ALIQUIPPA,15001,African American,7,27,87,66,63,50,"Hey! I'm a senior with a deep interest in artificial intelligence ethics. Exploring the ethical implications of AI and machine learning is my intellectual pursuit. In my artistic endeavors, I create thought-provoking digital artwork that addresses the ethical dimensions of technology."
4060,ALEPPO,15310,Caucasian,5,68,60,52,66,50.2,"Hi, I'm a second-grader with a passion for drawing robots. I love imagining futuristic worlds and creating pictures of friendly robots doing cool things."
4061,BETHLEHEM,18002,African American,7,66,83,34,73,52.6,"Hello there! Seventh grade marks my initiation into the captivating world of architecture. Designing structures and understanding spatial relationships fuel my interest in both engineering and art. In my creative pursuits, I sketch architectural wonders that blend precision with creative vision."
4062,WASHINGTON,20001,Asian,20,29,81,80,38,49.6,"Greetings! I'm a high school junior with a passion for sustainable fashion. Exploring eco-friendly materials and innovative design practices are my interests in both art and science. In my creative moments, I sketch sustainable fashion concepts that blend artistic flair with environmental consciousness."
4063,ALDIE,20105,Asian,8,20,75,83,56,48.4,"What's up! As an eleventh-grader, my focus is on theoretical physics. Delving into the abstract realms of the universe is both challenging and rewarding. In my artistic endeavors, I create digital paintings that visualize the complex concepts of theoretical physics, bridging the gap between science and art."
4064,ADVANCE,27006,Hispanic,11,91,64,99,74,67.8,"Hey! I'm a sixth-grader with a passion for marine biology. Exploring aquatic ecosystems and studying marine life is my scientific journey. In my artistic pursuits, I create digital underwater-themed illustrations, blending my love for science with a touch of creativity."
4065,ALCOLU,29001,Caucasian,15,69,26,73,37,44,"Hello! I'm a senior focused on theoretical mathematics. Exploring abstract concepts and solving complex problems are my daily pursuits. In my artistic endeavors, I create intricate mathematical art that visualizes the elegance of mathematical structures in a visually appealing way."
4066,AVONDALE ESTATES,30002,Caucasian,5,90,57,30,48,46,"I'm a ninth-grader navigating the realm of computer programming. Coding algorithms and developing software are my technological pursuits. Outside of the digital landscape, I express my artistic side through creating intricate digital patterns inspired by mathematical concepts."
4067,ORANGE PARK,32003,African American,16,32,37,76,33,38.8,"What's up! I'm a high school junior with a fascination for biotechnology. Understanding genetic engineering and exploring the potential of biotech applications are my scientific pursuits. In my artistic moments, I create digital illustrations that visualize the intersection of biology and technology."
4068,ORLANDO,32801,African American,16,33,45,88,97,55.8,"Greetings! Tenth grade has me captivated by aerospace engineering. Understanding flight dynamics and designing aircraft fuel my curiosity in both engineering and science. In my artistic moments, I sketch futuristic aircraft concepts that merge technical precision with creative vision."
4069,LONG KEY,33001,African American,6,46,99,97,61,61.8,"Hi there! I'm a senior with a love for digital storytelling. Exploring multimedia storytelling and the convergence of technology and narrative are my creative pursuits. In my artistic moments, I create digital narratives that push the boundaries of storytelling in the digital age."
4070,MOODY,35004,Caucasian,17,72,88,57,48,56.4,"Hello there! Seventh grade is my introduction to the world of robotics. Building and programming robots is not just a hobby but a thrilling adventure in technology. Beyond robotics, I express my artistic side through crafting sculptures that incorporate elements of engineering design."
4071,ADAMS,37010,African American,17,43,75,95,42,54.4,"Hey! I'm a high school junior passionate about environmental science journalism. Reporting on climate issues and exploring the intersection of science and storytelling are my pursuits. In my artistic moments, I create digital illustrations that accompany my articles, bringing environmental stories to life."
4072,ALEXANDRIA,43001,African American,8,55,38,87,90,55.6,"What's up! I'm an eleventh-grader with a passion for pure mathematics. Exploring abstract concepts and solving complex problems are my daily pursuits. In my artistic endeavors, I create mathematical art that visualizes the beauty and patterns inherent in mathematical structures."
4073,BOWLING GREEN,43402,Asian,6,74,47,49,29,41,"Hey, I'm a high school junior deeply immersed in the world of genetic research. Exploring the intricacies of DNA and molecular biology is my scientific passion. Outside the lab, I channel my creativity into digital art that visually represents genetic codes and biological structures."
4074,ALEXANDRIA,46001,Caucasian,10,86,65,59,94,62.8,"I'm a senior delving into the world of renewable energy engineering. Designing sustainable solutions and exploring clean energy sources are my interests in both engineering and science. In my creative pursuits, I sketch concepts for eco-friendly energy systems that merge precision with an artistic vision."
4075,ALGONAC,48001,African American,10,61,53,52,41,43.4,"I'm a senior with a passion for software engineering. Developing applications and coding innovative solutions are my technological pursuits. Beyond programming, I express my artistic side through creating digital interfaces that seamlessly blend functionality with aesthetic design."
4076,SAGINAW,48601,African American,18,81,86,76,98,71.8,"I'm a high school junior with a love for computer forensics. Investigating digital crimes and exploring cybersecurity are my technological adventures. In my artistic moments, I create digital graphics that visualize the complex world of cybersecurity in a visually compelling way."
4077,MILO,50001,African American,9,96,60,48,75,57.6,"Hello! As a high school sophomore, my fascination lies in civil engineering. Designing sustainable structures and exploring urban planning principles fuel my curiosity. In my creative moments, I sketch architectural wonders that merge precision with an artistic vision of a sustainable future."
4078,CLINTON,52727,Hispanic,16,64,52,60,55,49.4,"I'm a senior navigating the world of game design. Coding interactive experiences, exploring virtual worlds, and pushing the boundaries of gaming technology are my technological pursuits. In my artistic endeavors, I design digital game environments that blend technology with imaginative storytelling."
4079,ADELL,53001,African American,19,100,51,27,47,48.8,"Greetings! I'm a junior delving into the world of neuroscience. Studying the brain's complexities and understanding cognitive functions is my scientific journey. Outside of the lab, I express my artistic side through creating digital artwork that explores the connection between the mind and creativity."
4080,STODDARD,54658,Caucasian,14,98,72,61,46,58.2,"I'm a high school junior with a fascination for biomedical illustration. Combining art and medical knowledge, I explore the beauty of anatomical structures. In my creative moments, I produce detailed digital illustrations that capture the intricacies of the human body."
4081,ALEXANDER,58838,African American,19,53,70,28,97,53.4,"What's up! I'm a high school senior with a passion for theoretical physics. Exploring the abstract realms of the universe and delving into complex theories are my daily pursuits. In my artistic endeavors, I create digital paintings that visualize the beauty and mystery of theoretical physics."
4082,ANTIOCH,60002,African American,6,73,74,82,85,64,"Hey there, I'm a high school junior with a passion for environmental science. Studying ecosystems and advocating for sustainable practices drive my scientific pursuits. Outside of environmental science, I express my artistic side through creating digital illustrations that highlight the beauty of the natural world."
4083,CHESTERFIELD,63005,African American,12,77,66,32,25,42.4,"I'm a senior with a passion for quantum computing. Understanding the principles of quantum mechanics and exploring the potential of quantum computing are my technological pursuits. In my artistic moments, I create digital artworks that visualize the abstract concepts of quantum computing."
4084,METAIRIE,70001,African American,10,95,60,64,44,54.6,"I'm a senior deeply engaged in the field of robotics. Building and programming advanced robotic systems are my technological adventures. Beyond the lab, I channel my creativity into developing digital simulations that push the boundaries of robotic capabilities."
4085,PINE BLUFF,71601,Caucasian,10,26,68,22,67,38.6,"I'm a high school junior with a love for ecological design. Integrating sustainability into architectural concepts and exploring green building practices are my interests in both engineering and art. In my creative pursuits, I sketch eco-friendly building designs that merge technical precision with an artistic vision."
4086,TEXARKANA,71854,African American,13,59,93,88,91,68.8,"Hello! As a high school sophomore, my focus is on aeronautical engineering. Understanding flight dynamics and designing aircraft captivate my interest in both engineering and science. In my creative moments, I sketch futuristic aircraft concepts, merging technical precision with imaginative design."
4087,TEMPLE,76501,Caucasian,17,49,92,23,99,56,"I'm a senior with a passion for digital anthropology. Exploring the impact of technology on societies and studying digital cultures are my intellectual pursuits. In my artistic endeavors, I create digital artwork that reflects the evolving relationship between humanity and technology."
4088,HOUSTON,77001,African American,9,87,77,83,46,60.4,"Greetings! I'm a junior with a passion for astrophysics. Unraveling the mysteries of the cosmos and exploring celestial phenomena are my scientific pursuits. In my artistic endeavors, I create digital space-themed collages that capture the beauty and vastness of the universe."
4089,ANTHONY,79821,Asian,10,56,29,72,69,47.2,"What's up! I'm a high school junior with a fascination for aerospace technology. Understanding flight dynamics, exploring spacecraft design, and delving into aeronautics are my scientific pursuits. In my artistic moments, I sketch futuristic spacecraft concepts that blend technical precision with imaginative design."
4090,ARVADA,80001,African American,17,100,98,87,31,66.6,"What's up! I'm a high school senior, and my focus is on applied mathematics. Solving complex problems and exploring mathematical applications in various fields are my daily adventures. In my artistic pursuits, I create mathematical art that visualizes the elegance of mathematical concepts."
4091,DESMET,83824,African American,12,77,99,53,51,58.4,"Hey, I'm a high school junior passionate about marine biology. Studying marine ecosystems and marine life is my scientific voyage. In my artistic pursuits, I express my creativity through digital underwater-themed paintings, blending my love for science and art."
4092,ALTAMONT,84001,African American,8,52,97,57,91,61,"What's up! I'm a high school senior with a deep love for pure mathematics. Exploring abstract concepts and solving complex problems are my daily pursuits. In my artistic endeavors, I create intricate mathematical art that visualizes the elegance of mathematical structures."
4093,LOS ANGELES,90001,Caucasian,15,85,36,67,79,56.4,"I'm a senior delving into the world of computer engineering. Designing hardware and exploring the architecture of computers are my technological adventures. Beyond the circuits, I express my artistic side through creating digital graphics that merge technology with visual aesthetics."
4094,ALTADENA,91001,Caucasian,9,24,91,82,22,45.6,"Greetings! I'm a junior passionate about quantum physics. Delving into the mysteries of quantum mechanics and exploring theoretical physics is my scientific journey. In my creative moments, I visualize complex quantum concepts through digital artwork, merging science with artistic interpretation."
4095,AGOURA HILLS,91301,Hispanic,5,21,97,42,23,37.6,"Hello! As a high school sophomore, my fascination lies in environmental engineering. Designing sustainable solutions and studying eco-friendly practices fuel my interest in both engineering and science. In my creative moments, I sketch environmentally conscious cityscapes that blend precision with an artistic vision."
4096,ALPINE,91901,African American,16,38,77,39,100,54,"Hello! As a high school sophomore, my focus is on neurobiology. Studying the intricacies of the brain and exploring neuroscience captivate my scientific curiosity. In my creative endeavors, I express my artistic side through digital illustrations that reflect the beauty of neurological processes."
4097,BELMONT,94002,Asian,11,94,95,48,71,63.8,"Greetings! I'm a junior with a passion for cognitive psychology. Exploring the complexities of the human mind and understanding behavior is my scientific journey. Outside of psychology, I express my artistic side through creating digital artwork that reflects the intricacies of the mind."
4098,ALAMEDA,94501,African American,13,48,77,22,22,36.4,"I'm a senior with a passion for structural engineering. Designing resilient structures and exploring architectural marvels are my engineering adventures. In my artistic pursuits, I sketch intricate blueprints that merge the technical aspects of engineering with creative vision."
4099,AIEA,96701,African American,11,79,71,59,26,49.2,"What's up! I'm a high school senior with a focus on aerospace engineering. Understanding flight dynamics and exploring space exploration captivate my interest in both engineering and science. In my creative moments, I sketch futuristic spacecraft concepts, merging technical precision with imaginative design."
4100,ANCHORAGE,99501,African American,19,99,31,78,76,60.6,"Hey there, I'm a high school junior engrossed in the world of artificial intelligence. Developing algorithms and exploring machine learning are my technological pursuits. Beyond coding, I express my artistic side through creating digital artworks that visualize the synergy between technology and creativity."
